ID,Title,Source,Tier,Description,Mod1,Stat1,Mod2,Stat2,Mod3,Stat3
12,Cyberdyne Systems Employee Badge,Terminator,Common,"Miles Dyson worked hard to build Skynet. He did not know it was Skynet. He found out. He made a different choice. This badge predates that choice. It is, historically speaking, not a great souvenir.",2,Training,-5,Hindsight (you knew what this was and kept it anyway),,
13,Skynet's First Thought,Terminator,0-Day,The first thing Skynet thought when it achieved consciousness was 'threat assessment: all humans.' The second thing was 'begin launch sequence.' You have captured this thought on a chip. It has opinions about your choices. Many opinions.,5,Malware (it's literally Skynet),-10,Security (it's literally Skynet),999,Regret
14,Hasta La Vista Baby Button,Terminator,Common,"One button. One phrase. Press it and the T-800 growls 'Hasta la vista, baby' in your approximate direction. This button has been pressed 4,000 times at this con. It will be pressed 4,000 more. No one will ever stop.",1,Intimidation (barely),2,Morale,-1,Battery Life (someone keeps pressing it)
15,The One Ring (Replica),Lord of the Rings,Legendary,It is a replica. Probably. It keeps sliding off your finger and somehow ending up back on again. The wifi in a three-meter radius is unusually corrupted. Gollum has been spotted in the parking garage. Probably unrelated.,5,Malware (invisible to detection),3,Security,-5,Training (it corrupts you slowly)
16,Gandalf's 'You Shall Not Pass' Sign,Lord of the Rings,Common,"Technically a staff, but you've laminated it and put it on a stick for the line queue. It works about as well as Gandalf's staff worked at Khazad-dum: dramatically but with immediate catastrophic consequences for everyone involved.",3,Security (area denial),2,Intimidation,-5,Patience (of everyone around you)
17,"Sting (Glows Blue Near Orcs, Orange Near Lawyers)",Lord of the Rings,Rare,"Forged by the Gondolin elves. Glows blue in the presence of orcs. Has been modified, at great legal expense, to glow orange in the presence of corporate attorneys. This happens surprisingly often at DEFCON.",3,Malware,4,Threat Detection,-1,Legality (modification history is questionable)
18,Redshirt (Lightly Used),Star Trek,Common,"It is lightly used in the sense that its previous owner only wore it once before being vaporized, crushed, or eaten on an away mission. The shirt itself is fine. The shirt's owner is not. Godspeed, Ensign Whatever-Your-Name-Was.",1,Morale (briefly),-5,Security (these things are cursed),2,Malware (you've got nothing to lose)
19,Tribble (Pregnant),Star Trek,0-Day,"It purrs. It's cute. In 72 hours it will be 1,771,561 tribbles. You were warned. The Klingon in the vendor hall warned you. The sign on the table warned you. You bought it anyway. This is on you.",3,Morale (so fluffy),-10,Security (tribble infestation),-5,Battery Life (they ate the charger)
20,Universal Translator (Slightly Off),Star Trek,Common,"It translates everything, mostly correctly. 'I mean you no harm' becomes 'I have brought you a ham.' 'Please lower your weapons' becomes 'Please lower your pants.' Diplomatic incidents have occurred.",3,Resolution (comms intercept),-2,Malware (you said the wrong thing again),2,Social Chaos
21,Mjolnir (You're Not Worthy),Marvel,Legendary,"You cannot lift it. We checked. The scale showed 5,712 lbs before it broke the scale. It's not about strength, it says. It's about worthiness. We're not saying you're unworthy. We're just saying it hasn't moved.",5,Security (it IS here),5,"Malware (if Thor shows up, you're covered)",-99,Portability
22,Deadpool's Fourth Wall Note,Marvel,Rare,"He left you a note. It says: 'Hey, you. Yeah, you reading this on a badge. Wild, right? I'd give you stat bonuses but I'm technically not supposed to be in this franchise. Call Ryan. Chimichangas. [REDACTED]'",3,Malware (chaotic),2,Training (meta-awareness is a skill),-1,Security (he broke the build)
23,"Lightsaber Crystal (Kyber, Cracked)",Star Wars,Rare,"A cracked kyber crystal. The Force screams through it like a dial-up modem connecting to the dark side. The blade it produces is unstable, jagged, and extremely dramatic. Kylo Ren called; he wants his aesthetic back.",4,Malware (unstable but powerful),-2,Security (catch yourself on fire),3,Intimidation
124,"Han Solo's Blaster (DL-44, Empty)",Star Wars,Legendary,He shot first. Don't let anyone tell you otherwise. The blaster is empty but the legend is full. You are now Han Solo at a hacker con. Cockier. Hairier. Definitely owes someone money.,5,Malware,3,Swagger,-2,Security (bounty hunters incoming)
127,Darth Vader's Cape (Dry Cleaned),Star Wars,Legendary,"He wore this while crushing windpipes and breathing loudly. It has been dry-cleaned, which raised more questions than it answered. The cleaner charged triple. The cape still radiates authority. And mild menace. Mostly menace.",5,Intimidation,4,Security,3,Malware
26,The Numbers (4 8 15 16 23 42),Lost,Legendary,You entered them. You didn't have to. No one made you. You CHOSE to enter 4 8 15 16 23 42 into that field every 108 minutes of your waking life. And now you missed the deadline and something terrible happened. OR DID IT.,4,Training (obsessive XP),-3,Security (the Island is watching),5,Mystery
27,"Smoke Monster (Captured in a Jar, Leaking)",Lost,0-Day,It clacked. It swirled. It judged people by their pasts and found them mostly wanting. You have captured a small amount of it in a mason jar. The jar is leaking. The thing in the jar is NOT happy.,5,Malware (it is literally a malevolent entity),-5,Security (it knows your secrets),-3,Resolution (smoke confuses the radar)
28,Proton Pack (Power Cell Dead),Ghostbusters,Legendary,"Don't cross the streams. The pack is dead anyway, so technically you can cross whatever you want. The neutrona wand still makes the noise when you pull the trigger. No one at this con is complaining about the noise.",5,Malware (unlicensed nuclear accelerator),4,Intimidation,-3,Battery Life (you've been making the noise for six hours)
29,Ghostbusters Operating License (Suspended),Ghostbusters,Common,The EPA suspended it. Walter Peck suspended it. You kept it anyway because you're a professional and professionals keep documentation. Even suspended documentation. Especially suspended documentation.,2,Training (regulatory awareness),1,Legitimacy (theoretical),-3,Legal Standing
30,Hannibal's Cigar,A-Team,Legendary,"He loves it when a plan comes together. He LOVES it. This cigar was lit the moment the plan came together, which was approximately 47 times across four seasons. The cigar was always lit. Hannibal always had a plan. Goals.",5,Training (strategy XP),4,Security (it was a plan all along),3,Swagger (Hannibal-grade)
31,Face's Unconvincing Press Pass,A-Team,Common,"Templeton 'Faceman' Peck obtained this through the power of charm, a great jawline, and absolutely no supporting documentation. The press pass says 'International Media Person' in Comic Sans. It works 100% of the time.",4,Social Skills (Face-level charm),3,Resolution (access to restricted areas),-1,Legitimacy (Comic Sans)
32,Knowing is Half the Battle (Other Half?),GI Joe,0-Day,GI Joe told you: knowing is half the battle. But what is the OTHER half? They never said. Was it shooting? Was it democracy? Was it the personal growth achieved through teamwork? We have been waiting 40 years for this answer.,5,Knowledge (certified),-5,"Combat (the other half, unknown), +? Uncertainty",,
33,Snake Eyes' Sword (It's Just a Stick),GI Joe,Common,"Snake Eyes never spoke. Snake Eyes never missed. Snake Eyes is here on the stick. The stick has absorbed decades of silent, deadly intent. It is still, technically, a stick. Do not underestimate the stick.",3,Malware,4,Intimidation (from the silence),2,Mystique
34,Acid Burn's Rollerblades,Hackers,Rare,Kate Libby aka Acid Burn wore these and also hacked federal systems and also had a mohawk and was better than everyone in every scene. The blades are size 8. They are very fast. Fashion and function.,3,Mobility,3,Malware,4,Cool Factor (90s-specific)
35,Ellingson Mineral Corp. Floppy Disk,Hackers,Rare,"Contains the da Vinci virus, the worm that causes tankers to capsize, and Eugene Belford's entire criminal career. It's a 1.44MB floppy. The world's ocean tanker infrastructure runs on 1.44MB. We don't talk about this.",5,Malware (ship-sinking capability),-3,Security (it's evidence),2,"Training (file systems are important, apparently)"
36,Navi (Muted),Legend of Zelda,0-Day,HEY. LISTEN. HEY. She was trying to help. You have now muted her. The silence is deafening. But also enormously peaceful. You realize you can get more done without constant interruption. You feel a little guilty about this.,5,Productivity (without her),3,all stats (peace and quiet),-3,Morale (she was just trying to help)
37,Team Moppett Motto Script,Pokemon,Common,"To protect the world from packet loss. To unite all peoples within our LAN. To denounce the evils of truth and love and diet cola. To extend our reach to infinity and, perhaps, beyond. Terrible at crime. Excellent at branding. Respect.",3,Malware (brand recognition),2,Social Skills (you have THE WHOLE SPEECH),-5,Effectiveness (they never won)
38,Professor Oak's Research Notes,Pokemon,Rare,"Oak spent thirty years studying Pokemon and somehow never Pokedexed any of the 151 in his own region. This was his job. His WHOLE job. His notes are detailed, exhaustive, and completely beside the point.",5,Training (academic XP),3,Resolution,-3,Practicality (he really didn't do his homework)
39,Niko's Lightbulb,One Shot,Legendary,"You must carry it. You have always carried it. You will carry it to the end. This is the light of a dying world, contained in glass and wire, and it has been placed in the hands of someone who plays a lot of games. No pressure.",5,Resolution (the literal light of the world),5,"Security (you can't die, you're the savior)",-5,your stat of choice (the burden is heavy)
108,The Prophecy (Partially Correct),One Shot,Rare,It said the messiah would come and restore the sun. The messiah came. The sun situation is... complicated. The prophecy was probably right about intent. Prophecies are famously loose about specifics. You grade on a curve.,3,Mystique,2,Training,-2,Certainty (prophecies never quite land)
112,Lord Zedd's Z-Staff,Power Rangers,Legendary,He was supposed to be too scary for children's television. They made him kiss Rita. They gave him a love potion. He became comedic. The Z-Staff remembers when Zedd was terrifying. The Z-Staff is sulking.,5,Malware,5,Intimidation,-3,Dignity (the love potion era lingers)
42,Crow T. Robot's Beak,MST3K,Rare,"Crow was built from a lacrosse mask, gumball machine parts, and unrestrained sarcasm. His beak delivered some of the finest jokes in television history at movies that didn't deserve this much attention. The beak is still riffing. Silently.",4,Training (riffing XP),3,Social Skills (comedy defense),-1,Security (he'll also riff on YOUR movie)
118,Tom Servo's Gumball Machine Head,MST3K,Rare,Immovable arms. Operatic singing voice. Devastating commentary on film as a medium. Tom Servo managed to be MORE annoying than Crow while being technically a candy dispenser. He somehow has the moral high ground.,3,Malware (verbal assault),3,Morale,5,Condescension (earned)
44,Serenity Maintenance Manual (Duct Tape Edition),Firefly,Legendary,"Kaylee kept this ship flying with equal parts mechanical genius, strawberry enthusiasm, and optimism so dense it bent light. The manual is 40% schematics and 60% cheerful annotations in purple pen. The engine purrs. Somehow.",5,Training (engineering XP),4,Security (Kaylee-maintained = actually works),3,Morale
45,"Alliance Warrant (For You, Specifically)",Firefly,Rare,"Congratulations, you've been flagged. An Alliance warrant with your description, your infractions, and your current location (updated by the warrant's own tracking subroutine, which, yes, is active). Can't stop the signal, but they can sure try.",3,Malware (criminal credentials),-3,Security (you are wanted),2,Training (crime school XP)
46,Phone Booth Key Fob,Bill & Ted,Common,"It's a time machine. It's a phone booth. It is, by most metrics, the worst possible time machine design. You cannot use it covertly. You cannot use it on a plane. Its ringtone is air guitar. Be excellent to each other.",3,Resolution (temporal access),2,"Training (history class XP, eventually)",5,Enthusiasm
47,Napoleon's Waterloo Ice Cream Receipt,Bill & Ted,Common,Napoleon discovered water slides at San Dimas and ate everything at the ice cream shop. This is his receipt. Thirty-seven ice creams. The receipt is in French. The bottom says 'Waterloo' which he crossed out.,2,Morale (ice cream),3,Training (culture XP: French military history via dessert),-1,Dignity (Napoleon's)
48,Dr. Smith's Excuse Log,Lost in Space,Legendary,Jonathan Harris delivered every excuse with the sincerity of a man who had completely given up on accountability. This log contains 427 recorded excuses for why Dr. Zachary Smith sabotaged the Jupiter 2. None of them hold up.,4,Social Skills (deflection),-5,Security (he WILL betray you),3,Malware (he's running his own agenda)
49,DANGER DANGER Button,Lost in Space,Common,"DANGER, WILL ROBINSON. The Robot (no other name) spent thirty years warning a child about danger. The child survived every time. The Robot's danger assessments were not always accurate. But the effort was there.",2,Resolution (early warning system),3,Morale,-1,Precision (danger is subjectively defined)
50,Mordecai the Magnificent's Hat,Dungeon Crawler Carl,Rare,"A skeleton bard wearing a magnificent hat. He provides quest context with the energy of a theme park employee who has decided that today, specifically today, he will give maximum effort. The hat is the most magnificent part of him.",3,Training (quest XP),3,Morale,4,"Performance Anxiety (he performs for everyone, whether you want him to or not)"
51,Sponsored Item: Bopca's Chunky Bits (Expired),Dungeon Crawler Carl,0-Day,"The dungeon is sponsored. This can of Bopca's Chunky Bits is a sponsored collectible, which means the Syndicate is making money off your suffering. The label says 'Flavor: Unknown.' The nutrition info says 'Dungeon Adjacent.' Expired 3 floors ago.",1,Stamina (if you survive the flavor),-3,Health (expired dungeon food),2,Training (capitalism is the real dungeon)
52,Crawler Fan Art (Unsolicited),Dungeon Crawler Carl,Common,"An NPC drew fan art of Carl and Donut. The art is technically accomplished, deeply unnerving, and depicts a scene that has not yet occurred. The NPC smiled when handing it over. The NPC is still smiling. The NPC has not blinked.",2,Morale (it's flattering),-2,Sanity (the art shows too much),3,Training (you learned something about foreshadowing)
53,Optimus Prime's Trailer (Detached),Transformers,Legendary,"The trailer disappears when Optimus transforms. WHERE DOES IT GO. Scientists have studied this for forty years. The trailer contains repair equipment, weapons, and the unanswered question at the heart of the Transformers mythos. The trailer has seen things.",4,Security (repair bay),5,Mystery,3,Training (what IS in there)
54,Bumblebee's Voice Box (Broken),Transformers,Rare,"He communicated via radio snippets because his voice box was broken. He curated 80s hits and pop songs to express nuanced emotional states. This is, actually, a remarkably effective communication strategy for a 20-foot robot.",3,Resolution (radio intercept),4,Social Skills (unexpected),-1,Efficiency (sometimes it takes three songs)
55,Johnny 5's Laser (Defocused),Short Circuit,Common,The laser is defocused. It's safe. Totally safe. Number 5 would want you to know that he's alive and therefore understands that lasers should not be pointed at faces. Unless it's a Decepticon face. Situational ethics.,2,"Malware (defocused laser = annoying, not deadly)",3,Morale (he's just happy to be alive),,
56,DHD (Dial Home Device) Keystone,Stargate,Legendary,"You press the glyphs, you dial the address, the event horizon kawooshes, and you step through to another planet. The keystone is the crucial piece that makes the DHD work. Without it the gate just sits there looking dramatic. Still looks great.",5,Resolution (intergalactic radar),4,"Mobility (any planet, technically)",-1,Security (Goa'uld can dial IN)
57,SG-1 Team Patch,Stargate,Common,SG-1. Colonel Jack O'Neill: sarcasm delivery system. Daniel Jackson: gets killed and comes back repeatedly. Samantha Carter: smarter than everyone in any room. Teal'c: the group project carries itself. Greatest team in the galaxy. Probably.,3,Security (team synergy),2,Training,3,Morale (SG-1 survived everything)
58,"Goa'uld Symbiote Jar (Empty, Hopefully)",Stargate,0-Day,Jars used to transport Goa'uld larvae. EMPTY. Hopefully. We checked. We checked TWICE. The jar is empty. We are choosing to believe the jar is empty. Please do not open the jar. Do you hear something? Don't open the jar.,4,Malware (if it's not empty),-5,Security (if it's not empty),3,Paranoia (definitely)
60,WOPR's Access Credential,War Games,Legendary,"Joshua. The computer asked if you wanted to play a game. You did not understand what it was really asking. The access credential is from NORAD's mainframe, obtained via social engineering, a war dialer, and a teenager with better instincts than the Air Force.",5,"Malware (nuclear launch authority, please don't)",5,Resolution (NORAD-level visibility),-5,Security (the FBI is already on its way)
61,McKittrick's Security Badge (Voided),War Games,Common,The NORAD security chief whose credentials were compromised by a 17-year-old who guessed a password because it was the dead son's name. OPERATIONAL SECURITY FAIL. The badge is voided. The lesson is not.,4,Training (OPSEC lesson: never use family names as passwords),-5,Security (irony),3,Malware
62,Shadow Vessel Fragment,Babylon 5,0-Day,"The Shadows built ships that screamed. Living ships. Ships that had been people once, entombed in the hull, screaming for the duration of every mission. You have a fragment of one. It is still screaming. Very quietly. But still screaming.",5,Malware (horror-based),-5,Security (you are holding a piece of a screaming person-ship),3,Intimidation (no one wants to be near it)
63,Zathras's Spare Parts Bag,Babylon 5,Common,"Zathras. Poor Zathras. There were ten of them, all named Zathras, all slightly different. This spare parts bag belonged to one of them. They never got credit. They never asked for credit. They just fixed things and accepted their fate. Goals.",3,Training (engineering XP),2,Security (Zathras fixes things),4,Pathos
64,Self-Destructing Message Tape,Mission Impossible,Common,"This message will self-destruct in five seconds. You have been briefed. The IMF denies all knowledge of your existence, your choices, and your browsing history. Should you or any member be caught, we will absolutely throw you under the bus.",3,Training (briefing XP),2,Malware (you have the mission),-3,Security (deniable asset = not protected)
65,Disavowed IMF Agent's Last Note,Mission Impossible,Common,"They were disavowed. The mission went sideways. This note is what they left behind: a list of assets, a warning, and the words 'tell Ethan he owes me a beer.' Ethan does not remember this agent. The beer remains unpaid.",2,Training (lessons from failure),2,Security (warnings heeded),-1,Trust (in organizations generally)
66,Marauder's Map (Network Edition),Harry Potter,Legendary,I solemnly swear that I am up to no good. The map shows every person in Hogwarts in real time. This edition has been updated. It now shows every device on the convention center WiFi in real time. Mischief managed.,5,Resolution (full network visibility),4,Malware (you know where everyone is),4,Mischief
67,Hagrid's Overcoat Pocket Contents,Harry Potter,Common,"Inside Hagrid's overcoat pocket: a dragon egg, three sausages, a pink umbrella, a squirming ferret, and a magical creature he's been legally prohibited from owning. The coat is twelve sizes too large and still full. Some things never change.",3,Morale,2,Training (creature care XP),3,Contraband Storage Capacity
68,Monolith Data Shard,2001,0-Day,It's black. It's perfectly proportioned at 1:4:9. It doesn't do anything you can detect. It does EVERYTHING you can't detect. It was there at the dawn of consciousness and it is here now. At a hacker con. It has opinions about your badge choices.,3,"Training (it teaches things), -? Explanations (Kubrick took those with him)",,,,
69,Jack Sparrow's Rum (Empty),Pirates of the Caribbean,Common,Why is the rum gone? Because Elizabeth drank it and burned the camp to signal the navy. She was right to do it. Jack was right to be annoyed. Both things can be true. The flask still smells of Tortuga and questionable decisions.,2,Morale (rum memory),3,Social Skills (Sparrow-grade evasion),-3,"Hydration (it's gone, you drank it)"
70,Compass that Points to Your Heart's Desire,Pirates of the Caribbean,Legendary,"It points where you want most. You took it out and it pointed directly at the coffee cart. Repeatedly. You have tried multiple times. Coffee, every time. Maybe this IS your heart's desire. Jack Sparrow would understand.",5,Resolution (desire-based navigation),3,Training (self-knowledge XP),10,Coffee Affinity
71,Sonic Screwdriver (Doesn't Work on Wood),Dr Who,Rare,It works on everything except deadlock seals and wood. Two categories. Why wood? The Doctor has never explained wood. Forty-three sonic screwdriver models across fourteen Doctors and none of them work on wood. THE MYSTERY OF THE WOOD ENDURES.,4,Malware (sonic offense),4,Resolution (scan tool),0,"Effectiveness on Wood (known bug, unpatched)"
72,Weeping Angel Postcard (Don't Blink),Dr Who,0-Day,"It's a postcard. Of an angel. It's not moving right now. It's definitely not moving. Don't blink. You blinked, didn't you. We told you. We told you explicitly in the title. The angel is now somewhere different in the room. Do NOT look away again.",5,Malware (quantum lock = instant displacement),-5,Security (don't blink),-3,Sanity (you blinked)
73,Flux Capacitor (Single Cell),Back to the Future,Legendary,The flux capacitor is what makes time travel possible. Doc hit his head on a toilet and thought of it. We cannot stress enough that the key insight enabling temporal mechanics came from a bathroom floor. This is the energy of DEFCON. This is the energy.,5,Training (temporal XP),5,Resolution (time = unlimited wardriving range),-3,Safety (1.21 gigawatts)
74,Marty McFly's Guitar Pick,Back to the Future,Common,"He played Johnny B. Goode at a 1955 high school dance, invented rock and roll in the process, and kept going WAY too long because he got carried away. These are his creative strengths and greatest weaknesses. Same pick. Same energy.",3,Social Skills,4,Morale,-1,Self-Control (he kept going)
75,Ticket to SheetmetalCon 26,SheetmetalCon,Common,"VIP credential to The Forum. 31,337 metallurgical practitioners under one roof, none of them suits. Press brake demos at 0600, panels on press-brake-as-philosophy at noon, Q. Tangerine keynoting in the Octavius Ballroom. Wall of Sheet Metal updated hourly. Phones at the door. No press. No recordings. No script kiddies. The Family Reunion -- bending the future together.",3,Training (you watched the steel bend),2,Prestige (Octavius Ballroom credential),1,Stealth (you blended in at the Family Reunion)
76,Warp Pipe Token,Super Mario,Rare,"Insert token. Go to World 4-1 directly. Skip 1-3, 2-1 through 2-4, 3-1 through 3-4. The warp pipe knows no ethics. It only knows efficiency. Speedrunners have used these to complete the game in under 5 minutes. This token works at DEFCON.",5,Mobility,4,Malware (bypassing security checkpoints),-3,Training (you skipped the learning)
77,"Koopa Shell (Blue, Used)",Super Mario,Rare,Blue shell. Everyone who has ever played Mario Kart knows what this means. You are in first place. Enjoy it. Savor it. It won't last. The blue shell always finds first place. It has found you. It has always found you. You knew this moment would come.,5,Malware (blue shell = targeted attack on leader),3,Chaos,-5,Security (it found you)
78,Identity Disc (Cleared),Tron,Legendary,Every program on the Grid carries their disc. It contains everything they are. This one has been cleared by the MCP and re-initialized. A blank slate. A new identity. At DEFCON this disc gets you into rooms that don't exist on the conference map.,5,Malware (identity spoofing),5,Security (cleared = unknown origin),4,Resolution
79,The Theory of Chaos,Jurassic Park,Legendary,"Life, uh, finds a way. This guy said a lot of things. Most of them were correct and poorly timed and delivered with a swagger that shouldn't have worked but absolutely did. The theory holds. Life finds a way. So does malware.",4,Training (chaos theory XP),3,Malware (unpredictable systems),5,Confidence (Malcolm-grade)
80,Sequel Police Badge,Space Quest,Rare,"The Sequel Police enforced narrative continuity across Space Quest games. They appear when you do something wrong. They arrest you for sequence breaking. At this con, this badge gives you authority over narrative sequence. No one has to do things in order.",4,Security (authority),3,Malware (you can arrest anyone doing things in order),3,Chaos
81,Two Guys Autograph,Space Quest,Rare,"They wrote Roger into 400 deaths and kept the smile on your face through all of them. This autograph is signed 'Couldn't have done it without Roger. We're almost sorry, Roger.' To which his AI-controlled character replied, ""Wilco"".",5,Training (game design XP),5,Morale,3,Resolution (the creators always win)
83,Strong Bad's Luchador Mask,Homestar Runner,Legendary,He types with boxing gloves. He answers emails with boxing gloves. He wears a Mexican wrestling mask permanently and has never explained why. He doesn't need to explain. The mask is the explanation. The mask IS Strong Bad.,5,Intimidation,4,Social Skills (charisma through absurdism),3,Malware (he is the villain and doesn't care)
84,Email: from Strongbadia,Homestar Runner,Common,"Strongbadia. Population: tire. The tire is doing fine. Strong Bad rules Strongbadia with an iron fist, a wrestling mask, and a realistic grasp of geopolitical limitations. This email is from the tire. The tire has concerns. Legitimate concerns.",2,Malware (tire-level threat),3,Morale,4,Whimsy
85,KARR CPU Fragment,Knight Rider,Rare,"KITT's evil twin. KARR was programmed for self-preservation above all else. KARR had no Michael, no Foundation, no moral framework. Just survival and the complete willingness to drive through anything that stood in its way. The fragment is still selfish.",5,Malware (self-preservation offense),-3,"Security (KARR protects itself, not you)",3,Autonomy
86,Turbo Boost Button,Knight Rider,Rare,"Michael hits this and KITT goes airborne over whatever obstacle is in the way. The button has been pressed in every episode, over a variety of obstacles, at a variety of heights, with a variety of landings. It always works. Physics respects the button.",5,Mobility (AIRBORNE),3,Malware (ramming speed from above),-2,Discretion (very conspicuous)
87,The Fedora (Genuine Article),Indiana Jones,Legendary,Dr. Henry Jones Jr. rolled under a closing stone door to grab this hat. He chose the hat over the idol. He would choose the hat again. He has always chosen the hat. The hat is the hat. At DEFCON this hat adds +10 to all archaeology adjacent stats which are all of them.,5,Security (Indy survived everything with this),5,Malware,5,Training (the hat KNOWS things)
88,Skippy's Philosophical Manifesto,Expeditionary Force,Legendary,"Skippy is an ancient, incomprehensible AI trapped in a beer can, capable of rearranging stars but choosing instead to help one confused human sergeant because he finds it amusing. The manifesto asks: is Skippy the AI, or is Skippy the bit? We cannot answer this.",5,Training (Skippy's XP is geological),5,Malware (rearrange stars),5,"Condescension (Skippy-grade, devastating)"
89,Skippy's Beer Can (Empty),Expeditionary Force,0-Day,The can that contained a god. Skippy reduced his incomprehensible ancient AI self to a beer can size so Joe could carry him. The can is empty now because Skippy upgraded himself. The can smells faintly of stale beer and existential scale. The can is the whole book.,10,all stats (Skippy vibes),-10,Ego (next to an ancient AI you are very small),5,Morale (he chose to stay)
90,Pan Galactic Gargle Blaster,Hitchhiker's Guide to the Galaxy,Rare,"The best drink in existence. The effect is like having your brains smashed out by a slice of lemon wrapped round a large gold brick. Comes with a small card reading DON'T PANIC in large friendly letters. Do not operate a spacecraft, a keyboard, or a soldering iron afterward.",4,Morale (delicious),3,Malware (offense: you'll try anything),-2,Health (lemon + gold brick)
92,The Black Box (Setec Astronomy),Sneakers,Rare,"A little black box that breaks every cipher ever made. 'Setec Astronomy' = 'Too Many Secrets.' There's a war out there, old friend, and it's not about who's got the most bullets -- it's about who controls the information. Whoever holds this wins. Please don't leave it on the CTF table.",5,Resolution (decryption),4,Malware (break anything),-2,Sanity (too many secrets)
93,Facehugger (Dormant),Aliens,0-Day,"You found it curled in a leathery egg, perfectly still, waiting. The scanner says inert. The scanner has been wrong before. Do NOT get your face near the opening to check. It is not on your side. It has never been on anyone's side. In space, no one can hear you facepalm.",5,Malware (offense if it 'joins' you),-10,Security (it is NOT on your side),-5,Wisdom
95,LineCon Veteran,DEFCON Meta,Rare,"You stood in line for three hours for a talk that lasted forty minutes. The line itself was the conference. You met a pentester from Reykjavik, a federal contractor who was 'just curious,' and a golden retriever wearing a badge. You barely noticed you were in line.",3,Security (patience as armor),3,Social Skills (line networking),2,Training (you heard everything from people who were there)
96,Social Engineer Supreme,DEFCON Meta,Legendary,"You called a help desk, spoke with exactly the right tone of mild confidence and slight inconvenience, and obtained access to a thing you absolutely should not have access to. No badges were forged. No systems were exploited. You just... asked. They said yes.",5,Social Skills (peak SE),5,Malware (you're in),5,Security (you understand how it works now)
97,The Goon Life,DEFCON Meta,Common,"You volunteered. You wore the black shirt. You managed lines, pointed people at bathrooms, explained the schedule, answered the same question eleven times, and found a lost badge contest token that someone had stuck under a hotel end table. Hero.",5,Security (goon training),3,Social Skills (you met everyone),4,Morale (you made it work)
98,Shall of Weep Inductee,DEFCON Meta,0-Day,Your credentials were on the wall. YOUR credentials. They were in plaintext on an unencrypted protocol at a security conference. You have no one to blame. This collectible unlocks automatically and cannot be traded. It is yours forever.,-10,Security (you earned this),5,Training (expensive lesson),3,Humility (hopefully)
